kilde,type,dato,tittel,lenke,nokkelord,utdrag,funnet_dato
Stortinget,5,2026-06-17,"Korleis har departementet vurdert handlingsrommet for å innrette ei ordning for sal frå produksjonsstad som også tek vare på gardsøl tilverka ved tradisjonelle handverksmetodar, sett i lys av Stortinget sitt vedtak 19. mai, EØS-retten artikkel 13 og nasjonal historisk verdi, særleg proporsjonalitetsprinsippet slik det kjem til uttrykk i Visnapuu-dommen, og omsynet til å verne og vidareføre norsk immateriell kulturarv?",https://www.stortinget.no/no/Saker-og-publikasjoner/Sporsmal/Skriftlige-sporsmal-og-svar/Skriftlig-sporsmal/?qnid=126633,kulturarv,"Fra: Linda Monsen Merkesdal. Til: helse- og omsorgsministeren helse- og omsorgsministeren. …rdi, særleg proporsjonalitetsprinsippet slik det kjem til uttrykk i Visnapuu-dommen, og omsynet til å verne og vidareføre norsk immateriell kulturarv?",2026-06-29
Stortinget,5,2026-06-12,"Meiner statsråden at Statped si avgrensing av tilgangen til tilrettelagde skolelydbøker er i tråd med målet om ein inkluderande skule, der alle elevar har tilgang til nødvendige læremiddel, og vil statsråden gripe inn for å sikre at elevane også har dette tilbodet til hausten?",https://www.stortinget.no/no/Saker-og-publikasjoner/Sporsmal/Skriftlige-sporsmal-og-svar/Skriftlig-sporsmal/?qnid=125564,"bibliotek, leselyst","Fra: Erling Sande. Til: kunnskapsministeren kunnskapsministeren. …en støtten og de utfordringene de trenger. Anbefalingene kan også omfatte råd om bruk av læremidler og læringsressurser, og om bruk av skolebibliotek som en del av opplæringen. Videre skal anbefalingene bidra til inkluderende leseopplæring hvor generelle tiltak så langt som mulig skal iva… […] …iltak. Lesekommisjonen skal blant annet gi anbefalinger til skolene om beste praksiser for leseopplæring som bidrar til utvikling av språk, leselyst og leseferdigheter, slik at alle elever, uavhengig av nivå, får den støtten og de utfordringene de trenger. Anbefalingene kan også omfatte…",2026-06-22
Stortinget,5,2026-06-11,Hvordan tenker statsråden at et samarbeid mellom styringsnivåene i saken om pasientbibliotek på Haukeland sykehus kan komme i stand?,https://www.stortinget.no/no/Saker-og-publikasjoner/Sporsmal/Skriftlige-sporsmal-og-svar/Skriftlig-sporsmal/?qnid=125551,bibliotek,Fra: Sofie Marhaug. Til: helse- og omsorgsministeren helse- og omsorgsministeren. Hvordan tenker statsråden at et samarbeid mellom styringsnivåene i saken om pasientbibliotek på Haukeland sykehus kan komme i stand?,2026-06-22
Stortinget,5,2026-06-08,"Hvordan vil regjeringen sikre at utviklingen av generativ kunstig intelligens ikke svekker rekrutteringen til kunst- og kulturyrker, fører til tap av spesialisert kunstnerisk kompetanse eller bidrar til at norsk språk, kultur og særegne kunstuttrykk gradvis fortrenges, og hvilke strakstiltak vurderer regjeringen for å sikre et bærekraftig grunnlag for menneskeskapt kunst og kultur mens utviklingen av KI skjer raskere enn dagens reguleringer?",https://www.stortinget.no/no/Saker-og-publikasjoner/Sporsmal/Skriftlige-sporsmal-og-svar/Skriftlig-sporsmal/?qnid=125480,"bibliotek, nasjonalbiblioteket, kulturarv","Fra: Siren Julianne Jensen. Til: kultur- og likestillingsministeren kultur- og likestillingsministeren. …støtter opp under det langsiktige målet om å sikre norsk språk som samfunnsbærende språk i Norge. Videre samarbeider Språkrådet med Nasjonalbiblioteket om satsing på språkteknologi og KI.<br/>Mye av suksessen og risikoen knyttet til språkmodeller ligger i datagrunnlaget de er trent på. De… […] …åte som støtter opp under det langsiktige målet om å sikre norsk språk som samfunnsbærende språk i Norge. Videre samarbeider Språkrådet med Nasjonalbiblioteket om satsing på språkteknologi og KI.<br/>Mye av suksessen og risikoen knyttet til språkmodeller ligger i datagrunnlaget de er trent på. Det… […] …nngangsjobber og læringsarenaer forsvinner, kan fagmiljøer svekkes før nye generasjoner rekker å etablere seg. Dette er også et spørsmål om kulturarv og mangfold. Når mer innhold produseres med globale KI-modeller, kan norske språkformer, uttrykk og tradisjoner gradvis svekkes.<br/>Proble…",2026-06-15
Regjeringen,dokument/nyhet,2026-06-02,Åpning av Norsk Litteraturfestival 2026,https://www.regjeringen.no/no/aktuelt/apning-av-norsk-litteraturfestival-2026/id3164447/,"bibliotek, leselyst","…ster Lubna Jaffery (Maihaugsalen, Lillehammer) Sjekkes mot fremføring Kjære Lillehammer. Kjære forfattere, forleggere og oversettere. Kjære bibliotekarer og bokhandlere. Kjære ansatte i litteraturens tjeneste. Kjære frivillige i litteraturens tjeneste. Kjære dere som kommer, for første ga… […] …blant barn og unge; for voksne også. Derfor prioriterer Arbeiderparti-regjeringen leseløftet høyt, en stor satsing for å styrke lesingen og leselysten blant folk i landet vårt. Vi gjør det fordi vi ønsker at norske elever skal bli blant verdens beste lesere, og det krever en sterkere kul…",2026-06-08
Stortinget,5,2026-06-02,Hva vil kulturministeren gjøre for å fremme en nominasjon av buekorpstradisjonen i Bergen til Unescos representative liste over menneskehetens immaterielle kulturarv (UNESCO's Representative List of the Intangible Cultural Heritage of Humanity)? Jeg tar det som en selvfølge at hun er positiv? ,https://www.stortinget.no/no/Saker-og-publikasjoner/Sporsmal/Skriftlige-sporsmal-og-svar/Skriftlig-sporsmal/?qnid=125414,kulturarv,Fra: Silje Hjemdal. Til: kultur- og likestillingsministeren kultur- og likestillingsministeren. …nisteren gjøre for å fremme en nominasjon av buekorpstradisjonen i Bergen til Unescos representative liste over menneskehetens immaterielle kulturarv (UNESCO's Representative List of the Intangible Cultural Heritage of Humanity)? Jeg tar det som en selvfølge at hun er positiv?  Hva vil ku…,2026-06-15
Regjeringen,dokument/nyhet,2026-06-01,Presseinvitasjon: Klima- og miljøministeren og landbruks- og matministeren til Lom og Skjåk,https://www.regjeringen.no/no/aktuelt/klima-og-miljoministeren-og-landbruks-og-matministeren-til-lom-og-skjak/id3163430/,kulturarv,"…sk fjellsenter for å lære meir om arbeidet dei gjer. – Konsekvensane av klimaendringane med smeltande isbrear er alvorlege, også for Noregs kulturarv. Det norske sikringsprogrammet har i mange år arbeidd med å finne og ta vare på heilt eksepsjonelle, årtusen gamle funn frå norsk historie.…",
Regjeringen,dokument/nyhet,2026-05-28,Kultur- og likestillingsministeren besøker Kina,https://www.regjeringen.no/no/aktuelt/kultur-og-likestillingsministeren-besoker-kina/id3163044/,bibliotek,"…a møter om både kultur og likestilling og delta på flere arrangementer, blant annet: Litteraturarrangement i den Snøhetta-tegnede Beijing bybibliotek, og lesning av Jon Fosses «Morgon og kveld» i regi av det nylig opprettede Fosse Studies Center i Shanghai Holde innlegg om likestilling og…",
Regjeringen,dokument/nyhet,2026-05-27,Tilskuddsordninger fra Kultur- og likestillingsdepartementet,https://www.regjeringen.no/no/dep/kud/tilskudd/id711839/,"bibliotek, nasjonalbiblioteket",…ortal) Se lenke Kulturtanken - Den kulturelle skolesekken Norge (denkulturelleskolesekken.no) Se lenke Tilskudd til kultur Prosjektmidler - Bibliotekfeltet (Nasjonalbiblioteket.no) Se lenke Prosjektmidler - Arkivfeltet (Nasjonalarkivet.no) Se lenke Prosjektmidler - Museum (Kulturdirektora… […] …ulturtanken - Den kulturelle skolesekken Norge (denkulturelleskolesekken.no) Se lenke Tilskudd til kultur Prosjektmidler - Bibliotekfeltet (Nasjonalbiblioteket.no) Se lenke Prosjektmidler - Arkivfeltet (Nasjonalarkivet.no) Se lenke Prosjektmidler - Museum (Kulturdirektoratet.no) Se lenke Tilskudd t…,
Regjeringen,dokument/nyhet,2026-05-26,Kommunal- og distriktsministeren lanserer Handlingsplan for kvensk språk,https://www.regjeringen.no/no/aktuelt/kommunal-og-distriktsministeren-lanserer-handlingsplan-for-kvensk-sprak/id3159929/,bibliotek,"…Handlingsplan for kvensk språk Kalenderhendelse
| Bjørnar Selnes Skjæran Tidspunkt: 26.05.2026 kl. 09:30–11:00 Adresse: Tromsø Sted: Tromsø Bibliotek Legg til i egen kalender Statsråd Bjørnar Skjæran lanserer Handlingsplan for kvensk språk 2026–2031. Vis hele kalenderen Kommunal- og distr…",
